--;X;Y
1;24.6;9.2
2;26.4;9.2
3;24.7;11
4;26.3;11
5;30.1;10.8
6;19.4;13.1
7;21.2;13.1
8;24.7;13
9;26.5;12.8
10;31.8;12.6
11;19.4;15
12;24.8;14.8
13;28.5;14.6
14;30.3;14.5
15;32;14.4
16;41;15.9
17;41.1;17.6
18;41.1;19.6
19;19.6;16.8
20;26.7;16.4
21;30.4;18.2
22;32.3;18.1
23;32.3;19.9
24;34.1;19.9
25;35.9;19.8
26;44.8;19.5
27;46.6;19.3
28;46.7;21.1
29;35.9;21.6
30;34;21.6
31;21.6;24
32;23.4;23.9
33;32.4;23.5
34;34.2;23.4
35;36;23.5
36;32.4;25.4
37;29;25.5
38;25.3;25.6
39;25.4;27.6
40;27.2;27.4
41;30.8;27.4
42;29;27.5
43;29.1;29.2
44;55.6;58.8
45;57.4;58.6
46;55.6;60.5
47;57.5;60.5
48;59.3;60.4
49;55.8;62.3
50;57.5;62.3
51;59.4;62.2
52;55.9;64.2
53;57.7;63.9
54;59.5;64
